# Expression data file generated by Gemma on 01/26/2021
# shortName=GSE108605
# name=Transcriptomic analysis of hiPSC-derived neurons, pre-treated or not with KU-55933 compound (ATMi), after camptothecin (CPT) exposure and release.
# Experiment details: https://gemma.msl.ubc.ca/expressionExperiment/showExpressionExperiment.html?id=14914
# If you use this file for your research, please cite: 
# Zoubarev, A., et al., Gemma: A resource for the re-use, sharing and meta-analysis of expression profiling data. Bioinformatics, 2012. 
Probe	Sequence	GeneSymbol	GeneName	GemmaId	NCBIid	GSE108605_Biomat_8___BioAssayId=469713Name=Ctrl_untreated_rep3	GSE108605_Biomat_1___BioAssayId=469715Name=Ctrl_untreated_rep2	GSE108605_Biomat_3___BioAssayId=469717Name=Ctrl_untreated_rep1	GSE108605_Biomat_9___BioAssayId=469712Name=Ctrl_3h_post_CPT_rep3	GSE108605_Biomat_2___BioAssayId=469714Name=Ctrl_3h_post_CPT_rep2	GSE108605_Biomat_4___BioAssayId=469716Name=Ctrl_3h_post_CPT_rep1	GSE108605_Biomat_5___BioAssayId=469711Name=Ctrl_ATMi_untreated_rep3	GSE108605_Biomat_11___BioAssayId=469719Name=Ctrl_ATMi_untreated_rep2	GSE108605_Biomat_6___BioAssayId=469721Name=Ctrl_ATMi_untreated_rep1	GSE108605_Biomat_7___BioAssayId=469710Name=Ctrl_ATMi_3h_post_CPT_rep3	GSE108605_Biomat_12___BioAssayId=469718Name=Ctrl_ATMi_3h_post_CPT_rep2	GSE108605_Biomat_10___BioAssayId=469720Name=Ctrl_ATMi_3h_post_CPT_rep1
A_23_P100001	A_23_P100001	FAM174B	family with sequence similarity 174 member B	437851	400451	10.17023649	10.34406602	9.931083257	10.18560269	10.19518971	10.04640012	10.09248347	9.761011322	10.25943027	10.43946296	10.34706627	10.42875911
A_23_P100022	A_23_P100022	SV2B	synaptic vesicle glycoprotein 2B	204110	9899	7.80300061	7.814471048	7.652428183	7.891257815	7.906053064	7.616132032	7.790403862	7.769544296	7.924227882	7.742207016	7.907882323	7.950277788
A_23_P100056	A_23_P100056	RBPMS2	RNA binding protein, mRNA processing factor 2	428056	348093	6.825410621	7.143745609	7.155698516	7.014498906	6.859793311	7.049194328	6.197914854	6.422785846	6.181054348	6.383174465	6.225963049	6.31125818
A_23_P100074	A_23_P100074	AVEN	apoptosis and caspase activation inhibitor	312452	57099	9.829592871	10.07473478	9.990286849	9.690204746	9.701316384	9.40550056	9.449544408	9.968745678	9.440749792	9.364606337	9.279129563	9.144041993
A_23_P100127	A_23_P100127	KNL1	kinetochore scaffold 1	312231	57082	9.645067574	9.48123749	9.759737042	9.24002716	9.108737725	9.119528328	9.243731982	9.165858369	9.254569689	8.919662307	8.591963438	8.975633796
A_23_P100141	A_23_P100141	UNKL	unk like zinc finger	327716	64718	10.01096302	10.05906549	10.06392907	10.23919904	10.28148624	10.15904418	10.24598786	10.29447689	10.23231775	10.34271773	10.14861317	10.273608
A_23_P100196	A_23_P100196	USP10	ubiquitin specific peptidase 10	190289	9100	12.35723477	12.80291551	11.83596136	11.65655481	11.61603619	11.44125942	11.69750876	11.92549164	12.41462518	11.34300546	11.57259494	11.27000646
A_23_P100203	A_23_P100203	HSBP1	heat shock factor binding protein 1	72900	3281	12.67700365	12.88472013	12.64482923	13.12481239	13.0696721	13.02309859	12.67093569	12.57097547	12.52668553	12.95451179	13.01626143	12.83965763
A_23_P100220	A_23_P100220	ESRP2	epithelial splicing regulatory protein 2	341706	80004	7.348655444	8.010820407	7.850356982	7.407035969	7.316038552	6.67067705	7.048232843	7.039902419	7.067384814	7.072928846	6.803168873	6.823357654
A_23_P10025	A_23_P10025	NELL2	neural EGFL like 2	115855	4753	13.83343611	14.29874758	13.42071673	13.64727901	13.73222481	13.33879105	13.55084574	13.51399385	13.90210713	13.53644404	13.65311704	13.52306628
