GeneSymbol	NCBIid
A1BG	1
NAT2	10
ADA	100
CDH2	1000
AKT3	10000
GAGE12F	100008586
RNA5-8SN5	100008587
RNA18SN5	100008588
RNA28SN5	100008589
TRF-GAA1-4	100009606
LINC02584	100009613
POU5F1P5	100009667
ZBTB11-AS1	100009676
MED6	10001
NR2E3	10002
NAALAD2	10003
DUXB	100033411
SNORD116-1	100033413
SNORD116-2	100033414
SNORD116-3	100033415
SNORD116-4	100033416
SNORD116-5	100033417
SNORD116-6	100033418
SNORD116-7	100033419
SNORD116-8	100033420
SNORD116-9	100033421
SNORD116-10	100033422
SNORD116-11	100033423
SNORD116-12	100033424
SNORD116-13	100033425
SNORD116-14	100033426
SNORD116-15	100033427
SNORD116-16	100033428
SNORD116-17	100033429
SNORD116-18	100033430
SNORD116-20	100033431
SNORD116-21	100033432
SNORD116-22	100033433
SNORD116-23	100033434
SNORD116-24	100033435
SNORD116-25	100033436
SNORD115-2	100033437
SNORD116-26	100033438
SNORD116-27	100033439
SNORD115-3	100033440
SNORD115-4	100033441
SNORD115-5	100033442
SNORD115-6	100033443
SNORD115-7	100033444
SNORD115-8	100033445
SNORD115-9	100033446
SNORD115-10	100033447
SNORD115-11	100033448
SNORD115-12	100033449
SNORD115-13	100033450
SNORD115-14	100033451
SNORD115-15	100033453
SNORD115-16	100033454
SNORD115-17	100033455
SNORD115-18	100033456
SNORD115-19	100033458
SNORD115-20	100033460
SNORD115-21	100033603
SNORD115-22	100033799
SNORD115-23	100033800
SNORD115-25	100033801
SNORD115-26	100033802
SNORD115-29	100033803
SNORD115-30	100033804
SNORD115-31	100033805
SNORD115-32	100033806
SNORD115-33	100033807
SNORD115-34	100033808
SNORD115-35	100033809
SNORD115-36	100033810
SNORD115-37	100033811
SNORD115-38	100033812
SNORD115-39	100033813
SNORD115-40	100033814
SNORD115-41	100033815
SNORD115-42	100033816
SNORD115-43	100033817
SNORD115-44	100033818
MIR675	100033819
SNORD116-28	100033820
SNORD116-29	100033821
SNORD115-48	100033822
PDZK1P1	100034743
SNORD115-24	100036563
SNORD115-27	100036564
SNORD115-28	100036565
SNORD115-45	100036566
SNORD115-47	100036567
DDTL	100037417
TLX1NB	100038246
NAALADL1	10004
CDKN2B-AS1	100048912
GUSBP9	100049076
SIGLEC14	100049587
LOC100049716	100049716
ACOT8	10005
ABI1	10006
GNPDA1	10007
MIMT1	100073347
KCNE3	10008
ZBTB33	10009
SNHG8	100093630
GTF2IP4	100093631
GS1-600G8.3	100093698
CDH3	1001
TANK	10010
TTTY21B	100101115
TTTY1B	100101116
TTTY2B	100101117
TTTY8B	100101118
TTTY7B	100101120
TTTY23B	100101121
LOC100101148	100101148
HAVCR1P1	100101266
POM121C	100101267
PMS2P7	100101440
ZSCAN30	100101467
LOC100101478	100101478
ANKRD26P3	100101938
SRA1	10011
SNORD119	100113378
SNORD121A	100113379
SNORD125	100113380
SNORD19B	100113381
SNORD105B	100113382
SNORD123	100113384
UCKL1-AS1	100113386
SNORD127	100113389
SNORD126	100113391
SNORD11B	100113392
SNORD12B	100113393
SNORD111B	100113402
LIN28B-AS1	100113403
LINC00583	100113404
TMEM170B	100113407
FAM138E	100124412
SNORD58C	100124516
SCARNA27	100124533
SNORA84	100124534
SNORA36C	100124535
SNORA38B	100124536
SNORA70B	100124537
SNORA70C	100124538
SNORA11B	100124539
SNORA11C	100124540
SNORA11D	100124541
HOTAIR	100124700
ZGLP1	100125288
FAM86JP	100125556
FMR1-AS1	100126270
MIR298	100126296
MIR300	100126297
VTRNA2-1	100126299
MIR509-2	100126301
MIR450B	100126302
MIR890	100126303
MIR891B	100126304
MIR888	100126306
MIR892B	100126307
MIR541	100126308
MIR875	100126309
MIR876	100126310
MIR147B	100126311
MIR744	100126313
MIR877	100126314
MIR665	100126315
MIR873	100126316
MIR374B	100126317
MIR301B	100126318
MIR216B	100126319
MIR920	100126320
MIR922	100126321
MIR924	100126323
MIR934	100126324
MIR935	100126325
MIR936	100126326
MIR938	100126327
MIR940	100126328
MIR941-1	100126329
MIR941-4	100126330
MIR942	100126331
MIR943	100126332
MIR708	100126333
MIR885	100126334
MIR543	100126335
MIR208B	100126336
MIR509-3	100126337
MIR937	100126338
MIR941-2	100126339
MIR944	100126340
MIR891A	100126341
MIR892A	100126342
MIR874	100126343
MIR889	100126345
MIR190B	100126346
MIR887	100126347
MIR760	100126348
MIR921	100126349
MIR933	100126350
MIR939	100126351
MIR941-3	100126352
MIR297	100126354
MIR365A	100126355
MIR365B	100126356
LOC100126447	100126447
GJE1	100126572
LOC100126584	100126584
LINC00322	100126693
SNAR-G1	100126780
SNAR-F	100126781
LOC100126784	100126784
EGOT	100126791
GHRLOS	100126793
SNAR-A1	100126798
SNAR-A2	100126799
SNAR-A12	100126800
MINAR2	100127206
SLCO4A1-AS1	100127888
HECW1-IT1	100127950
LOC100127955	100127955
KRT73-AS1	100127967
C8orf88	100127983
LOC100128002	100128002
LOC100128006	100128006
DPPA2P3	100128023
WWTR1-AS1	100128025
PLCE1-AS1	100128054
SMARCA5-AS1	100128055
LOC100128059	100128059
FAM229A	100128071
LOC100128076	100128076
LOC100128079	100128079
JAZF1-AS1	100128081
ST8SIA6-AS1	100128098
LOC100128108	100128108
HGC6.3	100128124
STAU2-AS1	100128126
ADGRA1-AS1	100128127
LINC01233	100128139
LOC100128164	100128164
UST-AS1	100128176
TMPO-AS1	100128191
LINC02324	100128233
LOC100128239	100128239
ZNF667-AS1	100128252
LOC100128253	100128253
WASIR1	100128260
TNK2-AS1	100128262
HTR5A-AS1	100128264
